名古屋市,名古屋コーチン,ういろう,鯉,ナマズ,豆味噌,味噌煮込みうどん,,,,,,,,,,,,,,,,,,
愛西市,蓮根,イチゴ「とちおとめ」「ゆめのか」,トマト「桃太郎ヨーク」「千果」,ナス,レンコン,ニンジン,大根,ミツバ,ショウガ,日本酒,,,,,,,,,,,,,,
あま市,七宝焼き「尾張七宝」,刷子,刷毛,小松菜,おやき,どら焼き,ゆば,蕎麦,ミズナ,壬生菜（みぶな）,越津ネギ,方領大根,味噌,醤油,千石豆,,,,,,,,,
安城市,和泉そうめん,米「コシヒカリ」「あいちのかおり」,小麦,大豆「フクユタカ」,キュウリ「三河みどり」,梨「愛甘水」,イチジク,いちご,ぶどう「デラウェア」,菊,バラ,安城和牛,,,,,,,,,,,,
一宮市,きしめん,一宮妙興報恩禅寺そば,日本酒「ツインアーチ138」「真清田」「石刀」,,,,,,,,,,,,,,,,,,,,,
稲沢市,よりぼし漬,矢合まんじゅう,菓子「はだかもなか」「国府宮もなか」,あしたば,銀杏麺,日本酒「なおい」,いなっピー銀杏カレー,ぎんなんきしめん,,,,,,,,,,,,,,,,
犬山市,犬山ローレライ麦酒,きめだまげんこつ,げんこつ飴,犬山茶,ハチミツ,,,,,,,,,,,,,,,,,,,
岩倉市,名古屋コーチン,新ブランド野菜「ちっチャイ菜」,,,,,,,,,,,,,,,,,,,,,,
大府市,ぶどう「デラウェア」「巨峰」「スチューベン」,いちご「あきひめ」「とちおとめ」,北崎のジャンボ梨「新高」,木の山の芋,キャベツ,山芋焼酎木の山（このやま）,日本酒「大府の夢」,菓子「大府物語」「ぶどうせんべい」,漬け物「巨峰しぼりだいこん」「七福神漬」,,,,,,,,,,,,,,,
岡崎市,八丁味噌,,,,,,,,,,,,,,,,,,,,,,,
尾張旭市,いちじく,プチヴェール,蓮根焼酎,無二流もなか,きびもち,いちっこ,ワイン「夢みるいちじくワイン」,夢みるいちじく果実酢,焼酎「だで」,,,,,,,,,,,,,,,
春日井市,実生サボテン,サボテンのアイス,,,,,,,,,,,,,,,,,,,,,,
蒲郡市,蒲郡ミカン,三州もち,エビせんべい,ごま油,きしめん,アカザエビ,あさり,三河木綿,,,,,,,,,,,,,,,,
刈谷市,だいこん,白菜,すいか,ぶどう「デラウェア」「巨峰」,いちじく,米「コシヒカリ」「あいちのかおり」「あさひの夢」,梨「幸水」「豊水」「新高」,,,,,,,,,,,,,,,,,
北名古屋市,いちじく,,,,,,,,,,,,,,,,,,,,,,,
清須市,宮重大根,土田かぼちゃ,だいこんきよす,日本酒「鬼ころし」「清洲城信長」,守口漬,,,,,,,,,,,,,,,,,,,
江南市,なばな,きしめん,,,,,,,,,,,,,,,,,,,,,,
小牧市,しのおかの桃,柿,ぶどう,名古屋コーチン,えび芋,,,,,,,,,,,,,,,,,,,
新城市,新城茶,柿「次郎」「富有」,巨峰,いちご「紅ほっぺ」「ゆめのか」,里芋（八名丸）,自然薯,鉢花,米「ミネアサヒ」,トマト「桃太郎」,五平餅,つまもの,梅加工品,鳳来牛,鮎,日本酒「豊」「瑞穂」「桜山水」「新城御前」「朝日嶽」,,,,,,,,,
瀬戸市,瀬戸焼,,,,,,,,,,,,,,,,,,,,,,,
高浜市,味噌饅頭,養鰻,,,,,,,,,,,,,,,,,,,,,,
田原市,みかわポーク,ちりめん,キャベツ,トマト,キク,メロン,大アサリ,海苔,赤甘酒,とこはるうどん,芋切干ようかん,,,,,,,,,,,,,
知多市,きんかん,梅,まめみそ,きしめん,たまり醤油,佐布里の梅干,梅ぜりぃ,やまもも酒,佐布里の梅酒,,,,,,,,,,,,,,,
